Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,131.90000719316498,132.64783420296405,131.32042271751905,132.32066345214844,3338600,0.0,0.0
2023-01-04 00:00:00-05:00,132.80677372127005,134.2556993739714,132.15240363618116,133.30221557617188,3869200,0.0,0.0
2023-01-05 00:00:00-05:00,133.15264599960943,133.20873160437878,130.88107915923968,131.90936279296875,2866600,0.0,0.0
2023-01-06 00:00:00-05:00,133.09656398245662,134.8446319430279,132.34872261630355,134.3304901123047,3574000,0.0,0.0
2023-01-09 00:00:00-05:00,134.68570366218705,135.98507237058234,134.05003357612705,134.1902618408203,3987700,0.0,0.0
2023-01-10 00:00:00-05:00,134.24635265256344,135.40550740514982,133.5826397405768,135.3587646484375,2152100,0.0,0.0
2023-01-11 00:00:00-05:00,135.54571497030545,136.0411567873619,134.0967751643974,135.78875732421875,3268700,0.0,0.0
2023-01-12 00:00:00-05:00,135.43354724213827,137.09748664469313,135.09701937061672,136.0598602294922,2715900,0.0,0.0
2023-01-13 00:00:00-05:00,134.66701848862033,136.57401469222776,134.62027572859202,136.37770080566406,2455700,0.0,0.0
2023-01-17 00:00:00-05:00,136.87312521446808,137.58356657901746,135.55505657486822,135.72332763671875,2986500,0.0,0.0
2023-01-18 00:00:00-05:00,134.98485587209524,135.24659822988818,131.08674904651255,131.25502014160156,6445600,0.0,0.0
2023-01-19 00:00:00-05:00,130.87172373322315,132.9563193388,130.63802422655667,131.4512939453125,4833900,0.0,0.0
2023-01-20 00:00:00-05:00,132.4328407306347,132.61045464597603,131.348471547204,131.9934844970703,7153300,0.0,0.0
2023-01-23 00:00:00-05:00,132.18044497406152,133.6667847861898,131.8626170449823,132.61045837402344,5898400,0.0,0.0
2023-01-24 00:00:00-05:00,132.0402459577799,133.4424432599864,130.87174820594112,132.2646026611328,4407600,0.0,0.0
2023-01-25 00:00:00-05:00,131.3110834203075,131.83456804686585,130.27345701270565,131.58216857910156,7347500,0.0,0.0
2023-01-26 00:00:00-05:00,128.56278903606457,129.2545448053339,124.30945458068285,125.68360900878906,17548500,0.0,0.0
2023-01-27 00:00:00-05:00,125.67426809080564,126.65580902078507,125.04795502940057,125.62752532958984,8143100,0.0,0.0
2023-01-30 00:00:00-05:00,125.56208940404336,127.23537175045908,125.24424720502043,126.47818756103516,5375700,0.0,0.0
2023-01-31 00:00:00-05:00,126.66514921574034,126.80536323256428,125.03859530114379,125.94535064697266,7206400,0.0,0.0
