Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,129.21547799204924,129.83040711525132,123.15540233349964,124.04804992675781,112117500,0.0,0.0
2023-01-04 00:00:00-05:00,125.8531828144326,127.60872440443852,124.05797472292748,125.3275146484375,89113600,0.0,0.0
2023-01-05 00:00:00-05:00,126.09121866799474,126.72598862576233,123.74058876931177,123.99845886230469,80962700,0.0,0.0
2023-01-06 00:00:00-05:00,124.98037166000861,129.2253909088619,123.86952048030051,128.5608673095703,87754700,0.0,0.0
2023-01-09 00:00:00-05:00,129.40392512312226,132.31990467573962,128.82866251244664,129.08653259277344,70790800,0.0,0.0
2023-01-10 00:00:00-05:00,129.1956281428147,130.1874570510835,127.07311488448381,129.6617889404297,63896200,0.0,0.0
2023-01-11 00:00:00-05:00,130.17755901907103,132.41908715847225,129.39402075141217,132.39926147460938,69458900,0.0,0.0
2023-01-12 00:00:00-05:00,132.78606131816082,133.16294601845647,130.36599631977188,132.3199005126953,71379600,0.0,0.0
2023-01-13 00:00:00-05:00,130.95118549985727,133.81757078855932,130.5842136020096,133.65887451171875,57809700,0.0,0.0
2023-01-17 00:00:00-05:00,133.72830807819054,136.16819898308432,133.03403079363173,134.82923889160156,63646600,0.0,0.0
2023-01-18 00:00:00-05:00,135.70205468883577,137.47742198750748,133.92667225605413,134.10520935058594,69672800,0.0,0.0
2023-01-19 00:00:00-05:00,132.9844396475562,135.1367068506625,132.676975066271,134.1647186279297,58280400,0.0,0.0
2023-01-20 00:00:00-05:00,134.17460563112365,136.89222212868282,133.12326947147227,136.74343872070312,80223600,0.0,0.0
2023-01-23 00:00:00-05:00,136.99142636358434,142.14894963706016,136.77322275736296,139.95700073242188,81760300,0.0,0.0
2023-01-24 00:00:00-05:00,139.16352535964495,141.99024407935778,139.153612517868,141.36538696289062,66435100,0.0,0.0
2023-01-25 00:00:00-05:00,139.73877617563352,141.26618605607322,137.6757702023649,140.7008514404297,65799300,0.0,0.0
2023-01-26 00:00:00-05:00,142.0001532954897,143.07133041032213,140.7405262529401,142.78370666503906,54105100,0.0,0.0
2023-01-27 00:00:00-05:00,141.99023924889724,146.02697529477953,141.91089111505244,144.7375946044922,70555800,0.0,0.0
2023-01-30 00:00:00-05:00,143.7755498804357,144.36072540457255,141.6827899194062,141.83155822753906,64015300,0.0,0.0
2023-01-31 00:00:00-05:00,141.53398803448212,143.16058690592604,141.11742169188037,143.11099243164062,65874500,0.0,0.0
